grapheme	phoneme
ให้สัตยาบัน	h aj ˥˩ . s a t̚ ˨˩ . t a ˨˩ . j aː ˧ . b a n ˧
ชล	t͡ɕʰ o n ˧ . l a ˦˥ .
ฮิระงะนะ	h i ˦˥ . r a ˦˥ . ŋ a ˦˥ . n aʔ ˦˥
อัคนี	ʔ a k̚ ˨˩ . n iː ˧
การชั่ง	k aː n ˧ . t͡ɕʰ a ŋ ˥˩
เรื่องขำขัน	rɯ a̯ ŋ ˥˩ . kʰ a m ˩˩˦ . kʰ a n ˩˩˦
หัวค่ำ	h ua̯ ˩˩˦ . kʰ a m ˥˩
เยี่ยมเยียน	j ia̯ m ˥˩ . j ia̯ n ˧
ยิบรอลตาร์	j i p̚ ˦˥ . r ɔː l ˧ . t aː ˥˩
แต้จิ๋ว	t ɛː ˥˩ . t͡ɕ iw ˩˩˦
กล้า	k l aː ˥˩
ตะไคร่	t a ˨˩ . kʰ r aj ˥˩
แห	h ɛː ˩˩˦
โก่ง	k oː ŋ ˨˩
เหนือ	n ɯa̯ ˩˩˦
ข้าวหมาก	kʰ aːw ˥˩ . m aː k̚ ˨˩
ซินต์มาร์เติน	s i n ˦˥ . m aː ˧ . t ɤ n ˥˩
ซาลาเปา	s aː ˧ . l aː ˧ . p aw ˧
ปัดเป่า	p a t̚ ˨˩ . p aw ˨˩
ทัก	tʰ a k̚ ˦˥
โห่	h oː ˨˩
แดง	d ɛː ŋ ˧
จะงอย	t͡ɕ a ˨˩ . ŋ ɔːj ˧
ปฏิรูป	p a ˨˩ . t i ˨˩ . r uː ˧ . p a ˨˩ .
พื้นเสีย	pʰ ɯː n ˦˥ . s ia̯ ˩˩˦
มะโรงศก	m a ˦˥ . r oː ŋ ˧ . s o k̚ ˨˩
เรือบิน	rɯ a̯ ˧ . b i n ˧
ยอดเกสรตัวเมีย	j ɔː t̚ ˥˩ . k eː ˧ . s ɔː n ˩˩˦ . t ua̯ ˧ . m ia̯ ˧
ตัวเลข	t ua̯ ˧ . l eː k̚ ˥˩
จาระบี	t͡ɕ aː ˧ . r a ˦˥ . b iː ˧
ไม้จิ้มฟัน	m aj ˦˥ . t͡ɕ i m ˥˩ . f a n ˧
ยุโรป	j u ˦˥ . r oː p̚ ˨˩
ผลหมากรากไม้	pʰ o n ˩˩˦ . l a ˦˥ . m aː k̚ ˨˩ . r aː k̚ ˥˩ . m aj ˦˥
ใบรับ	b aj ˧ . r a p̚ ˦˥
สากล	s aː ˩˩˦ . k o n ˧ . l a ˦˥ .
อาหารทะเล	ʔ aː ˧ . h aː n ˩˩˦ . tʰ a ˦˥ . l eː ˧
บังอาจ	b a ŋ ˧ . ʔ aː t̚ ˨˩
พญา	pʰ a ˦˥ . j aː ˧
ขึ้นเขียง	kʰ ɯ n ˥˩ . kʰ ia̯ ŋ ˩˩˦
มาราธอน	m aː ˧ . r aː ˧ . tʰ ɔ n ˧
ประสิทธิผล	p r a ˨˩ . s i t̚ ˨˩ . tʰ i ˦˥ . pʰ o n ˩˩˦
สายอากาศ	s aːj ˩˩˦ . ʔ aː ˧ . k aː t̚ ˨˩
ตราสาร	t r aː ˧ . s aː n ˩˩˦
บ้าน	b aː n ˥˩
การจัดการ	k aː n ˧ . t͡ɕ a t̚ ˨˩ . k aː n ˧
กล้ำกลืน	k l a m ˥˩ . k lɯː n ˧
สวิตช์	s a ˧ . w i t̚ ˦˥
ขยาด	kʰ a ˨˩ . j aː t̚ ˨˩
การรับฟัง	k aː n ˧ . r a p̚ ˦˥ . f a ŋ ˧
ลดราคา	l o t̚ ˦˥ . r aː ˧ . kʰ aː ˧
หมูแดดเดียว	m uː ˩˩˦ . d ɛː t̚ ˨˩ . d ia̯w ˧
สับตะไคร้	s a p̚ ˨˩ . t a ˨˩ . kʰ r aj ˦˥
หย่อม	j ɔ m ˨˩
ที่สิบห้า	tʰ iː ˥˩ . s i p̚ ˨˩ . h aː ˥˩
โรงรถ	r oː ŋ ˧ . r o t̚ ˦˥
กุลพันธ์	k u ˨˩ . l a ˦˥ . pʰ a n ˧
ข้อแก้ตัว	kʰ ɔː ˥˩ . k ɛː ˥˩ . t ua̯ ˧
การทำให้เป็นอาณานิคม	k aː n ˧ . tʰ a m ˧ . h aj ˥˩ . p e n ˧ . ʔ aː ˧ . n aː ˧ . n i ˦˥ . kʰ o m ˧
ทำแท้ง	tʰ a m ˧ . tʰ ɛː ŋ ˦˥
โรคติดต่อ	r oː k̚ ˥˩ . t i t̚ ˨˩ . t ɔː ˨˩
ชัยภูมิ	t͡ɕʰ aj ˧ . j a ˦˥ . pʰ uː m ˧
ดล	d o n ˧
หินสบู่	h i n ˩˩˦ . s a ˨˩ . b uː ˨˩
ฝักบัวล้างก้น	f a k̚ ˨˩ . b ua̯ ˧ . l aː ŋ ˦˥ . k o n ˥˩
กล้ามเนื้อ	k l aː m ˥˩ . n ɯa̯ ˦˥
นักดาราศาสตร์	n a k̚ ˦˥ . d aː ˧ . r aː ˧ . s aː t̚ ˨˩
การเจริญ	k aː n ˧ . t͡ɕ a ˨˩ . r ɤː n ˧
อัตตาธิปไตย	ʔ a t̚ ˨˩ . t aː ˧ . tʰ i p̚ ˦˥ . p a ˨˩ . t aj ˧
อาหารไม่ย่อย	ʔ aː ˧ . h aː n ˩˩˦ . m aj ˥˩ . j ɔj ˥˩
กอดเก้าอี้	k ɔː t̚ ˨˩ . k aw ˥˩ . ʔ iː ˥˩
ตุ่มรับรส	t u m ˨˩ . r a p̚ ˦˥ . r o t̚ ˦˥
เช้า	t͡ɕʰ aːw ˦˥
บิล	b i n ˧
การก่อสร้าง	k aː n ˧ . k ɔː ˨˩ . s aː ŋ ˥˩
สาธารณรัฐโดมินิกัน	s aː ˩˩˦ . tʰ aː ˧ . r a ˦˥ . n a ˦˥ . r a t̚ ˦˥ . d oː ˧ . m i ˦˥ . n i ˦˥ . k a n ˧
สีชอล์ค	s iː ˩˩˦ . t͡ɕʰ ɔ k̚ ˦˥
ทาน	tʰ aː n ˧
ฅอ	kʰ ɔː ˧
พะยูง	pʰ a ˦˥ . j uː ŋ ˧
ลึก	lɯ k̚ ˦˥
ดาวแคระแดง	d aːw ˧ . kʰ r ɛʔ ˦˥ . d ɛː ŋ ˧
เบาะแส	b ɔʔ ˨˩ . s ɛː ˩˩˦
ไอซียู	ʔ aj ˧ . s iː ˧ . j uː ˧
โครงสร้าง	kʰ r oː ŋ ˧ . s aː ŋ ˥˩
กระสาบ	k r a ˨˩ . s aː p̚ ˨˩
ประชาธิปไตย	p r a ˨˩ . t͡ɕʰ aː ˧ . tʰ i p̚ ˦˥ . p a ˨˩ . t aj ˧
ประสบ	p r a ˨˩ . s o p̚ ˨˩
พันธุ์ผสม	pʰ a n ˧ . pʰ a ˨˩ . s o m ˩˩˦
สัมมนา	s a m ˩˩˦ . m a ˦˥ . n aː ˧
แสดง	s a ˨˩ . d ɛː ŋ ˧
มืออาชีพ	m ɯː ˧ . ʔ aː ˧ . t͡ɕʰ iː p̚ ˥˩
จวน	t͡ɕ ua̯ n ˧
ขวาก	kʰ w aː k̚ ˨˩
ประสาน	p r a ˨˩ . s aː n ˩˩˦
รักต่างเพศ	r a k̚ ˦˥ . t aː ŋ ˨˩ . pʰ eː t̚ ˥˩
เลอ	l ɤː ˧
พืดน้ำแข็ง	pʰ ɯː t̚ ˥˩ . n a m ˦˥ . kʰ ɛ ŋ ˩˩˦
ฉี่หนู	t͡ɕʰ iː ˨˩ . n uː ˩˩˦
ผ้านวม	pʰ aː ˥˩ . n ua̯ m ˧
ปัก	p a k̚ ˨˩
ดาวเคราะห์แคระ	d aːw ˧ . kʰ r ɔʔ ˦˥ . kʰ r ɛʔ ˦˥
โน้น	n oː n ˦˥
กุนซือ	k u n ˧ . s ɯː ˧
แห่งชาติ	h ɛ ŋ ˨˩ . t͡ɕʰ aː t̚ ˥˩
ว่ายน้ำ	w aːj ˥˩ . n aː m ˦˥
เครือรัฐ	kʰ rɯ a̯ ˧ . r a t̚ ˦˥
บีบ	b iː p̚ ˨˩
การดำเนินคดีแบบกลุ่ม	k aː n ˧ . d a m ˧ . n ɤː n ˧ . kʰ a ˦˥ . d iː ˧ . b ɛː p̚ ˨˩ . k l u m ˨˩
อรุณ	ʔ a ˨˩ . r u n ˧
ห้องสมุด	h ɔ ŋ ˥˩ . s a ˨˩ . m u t̚ ˨˩
ศีลธรรม	s iː n ˩˩˦ . l a ˦˥ . tʰ a m ˧
ตั้งโต๊ะ	t a ŋ ˥˩ . t oʔ ˦˥
อิฉัน	ʔ i ˨˩ . t͡ɕʰ a n ˩˩˦
ความซับซ้อน	kʰ w aː m ˧ . s a p̚ ˦˥ . s ɔː n ˦˥
เฉลิมฉลอง	t͡ɕʰ a ˨˩ . l ɤː m ˩˩˦ . t͡ɕʰ a ˨˩ . l ɔː ŋ ˩˩˦
พิชิต	pʰ i ˦˥ . t͡ɕʰ i t̚ ˦˥
มะนาว	m a ˦˥ . n aːw ˧
ข่าว	kʰ aːw ˨˩
เมษปิศาจ	m eː t̚ ˥˩ . s a ˨˩ . p i ˨˩ . s aː t̚ ˨˩
ลามะ	l aː ˧ . m aʔ ˦˥
สวิตช์	s a ˨˩ . w i t̚ ˦˥
อนุสรณ์สถาน	ʔ a ˨˩ . n u ˦˥ . s ɔː n ˩˩˦ . s a ˨˩ . tʰ aː n ˩˩˦
เกมโชว์	k eː m ˧ . t͡ɕʰ oː ˧
สายสะพาย	s aːj ˩˩˦ . s a ˨˩ . pʰ aːj ˧
ศักราช	s a k̚ ˨˩ . k a ˨˩ . r aː t̚ ˨˩
ทะเลจีนใต้	tʰ a ˦˥ . l eː ˧ . t͡ɕ iː n ˧ . t aːj ˥˩
ตลอดกาล	t a ˨˩ . l ɔː t̚ ˨˩ . k aː n ˧
ผณิน	pʰ a ˨˩ . n i n ˧
ความโกลาหล	kʰ w aː m ˧ . k oː ˧ . l aː ˧ . h o n ˩˩˦
ง้าว	ŋ aːw ˦˥
เพกาซัส	pʰ eː ˧ . k aː ˧ . s a t̚ ˦˥
การนั่ง	k aː n ˧ . n a ŋ ˥˩
แก้แค้น	k ɛː ˥˩ . kʰ ɛː n ˦˥
ทะเยอทะยาน	tʰ a ˦˥ . j ɤː ˧ . tʰ a ˦˥ . j aː n ˧
ตีนแมว	t iː n ˧ . m ɛːw ˧
วงเวียน	w o ŋ ˧ . w ia̯ n ˧
ไอดอล	ʔ aj ˧ . d ɔ l ˥˩
ชาว	t͡ɕʰ aːw ˧
การเกรงใจ	k aː n ˧ . k r eː ŋ ˧ . t͡ɕ aj ˧
บุคคลล้มละลาย	b u k̚ ˨˩ . kʰ o n ˧ . l o m ˦˥ . l a ˦˥ . l aːj ˧
นักเทศน์	n a k̚ ˦˥ . tʰ eː t̚ ˥˩
ต้าน	t aː n ˥˩
กรด	k r o t̚ ˨˩
ถอดถอน	tʰ ɔː t̚ ˨˩ . tʰ ɔː n ˩˩˦
ราก	r aː k̚ ˥˩
ราบ	r aː p̚ ˥˩
มนตรี	m o n ˧ . t r iː ˧
หลงผิด	l o ŋ ˩˩˦ . pʰ i t̚ ˨˩
ลิ้นสองแฉก	l i n ˦˥ . s ɔː ŋ ˩˩˦ . t͡ɕʰ ɛː k̚ ˨˩
ตน	t o n ˧
ศาสดา	s aː t̚ ˨˩ . s a ˨˩ . d aː ˧
สามเณร	s aː m ˩˩˦ . m a ˦˥ . n eː n ˧
ชัย	t͡ɕʰ aj ˧ . j a ˦˥ .
ทำเล	tʰ a m ˧ . l eː ˧
ลุ้น	l u n ˦˥
สะดุด	s a ˨˩ . d u t̚ ˨˩
สโมสร	s a ˨˩ . m oː ˧ . s ɔː n ˩˩˦
สังวาส	s a ŋ ˩˩˦ . w aː t̚ ˥˩
ขนัด	kʰ a ˨˩ . n a t̚ ˨˩
สา	s aː ˩˩˦
การท้าทาย	k aː n ˧ . tʰ aː ˦˥ . tʰ aːj ˧
ตุ๊กตาหิมะ	t u k̚ ˦˥ . k a ˨˩ . t aː ˧ . h i ˨˩ . m aʔ ˦˥
ดีเจ	d iː ˧ . t͡ɕ eː ˧
มะละกอ	m a ˦˥ . l a ˦˥ . k ɔː ˧
ธากา	tʰ aː ˧ . k aː ˧
วาสลีน	w aː t̚ ˦˥ . s a ˨˩ . l iː n ˧
พุทธศก	pʰ u t̚ ˦˥ . tʰ a ˦˥ . s o k̚ ˨˩
วีระกรรม	w iː ˧ . r a ˦˥ . k a m ˧
ไวพจน์	w aj ˧ . pʰ o t̚ ˦˥
เทวดา	tʰ eː ˧ . w a ˦˥ . d aː ˧
กะลอจี๊	k a ˨˩ . l ɔː ˧ . t͡ɕ iː ˦˥
เทวี	tʰ eː ˧ . w iː ˧
วัฏภาค	w a t̚ ˦˥ . t a ˨˩ . pʰ aː k̚ ˥˩
กระโดดร่ม	k r a ˨˩ . d oː t̚ ˨˩ . r o m ˥˩
หายนะ	h aː ˩˩˦ . j a ˦˥ . n aʔ ˦˥
ความแข็ง	kʰ w aː m ˧ . kʰ ɛ ŋ ˩˩˦
เส้นรอบรูป	s e n ˥˩ . r ɔː p̚ ˥˩ . r uː p̚ ˥˩
ท่อไอเสีย	tʰ ɔː ˥˩ . ʔ aj ˧ . s ia̯ ˩˩˦
ศาลฎีกา	s aː n ˩˩˦ . d iː ˧ . k aː ˧
มะเดื่อ	m a ˦˥ . d ɯa̯ ˨˩
หมีขอ	m iː ˩˩˦ . kʰ ɔː ˩˩˦
น้ำผึ้ง	n a m ˦˥ . pʰ ɯ ŋ ˥˩
ป่าช้า	p aː ˨˩ . t͡ɕʰ aː ˦˥
ขี้	kʰ iː ˥˩
ซีกโลก	s iː k̚ ˥˩ . l oː k̚ ˥˩
กรรตุการก	k a n ˧ . t u ˨˩ . k aː ˧ . r o k̚ ˦˥
การชิง	k aː n ˧ . t͡ɕʰ i ŋ ˧
ฟันไม้ข่มนาม	f a n ˧ . m aːj ˦˥ . kʰ o m ˨˩ . n aː m ˧
วิบาก	w i ˦˥ . b aː k̚ ˨˩
คาร์เมลทาไซท์	kʰ aː ˧ . m eː n ˧ . tʰ aː ˧ . s aj ˧
เผ่า	pʰ aw ˨˩
กระดาน	k r a ˨˩ . d aː n ˧
นิว	n iw ˧
ชายฝั่ง	t͡ɕʰ aːj ˧ . f a ŋ ˨˩
ลิงค์	l i ŋ ˦˥
เยื่อตา	j ɯa̯ ˥˩ . t aː ˧
จอง	t͡ɕ ɔː ŋ ˧
สระ	s a ˨˩ . r aʔ ˦˥
มากกว่า	m aː k̚ ˥˩ . k w aː ˨˩
ล่อนจ้อน	l ɔ n ˥˩ . t͡ɕ ɔ n ˥˩
โยเกิร์ต	j oː ˧ . k ɤ t̚ ˨˩
ปฐมทัศน์	p a ˨˩ . tʰ o m ˩˩˦ . m a ˦˥ . tʰ a t̚ ˦˥
พนง.	pʰ ɔː ˧ . n ɔː ˧ . ŋ ɔː ˧
คอมพิวเตอร์	kʰ ɔ m ˧ . pʰ iw ˧ . t ɤː ˥˩
ขาลศก	kʰ aː n ˩˩˦ . s o k̚ ˨˩
บราซิล	b r aː ˧ . s i l ˧
ไข้รากสาดใหญ่	kʰ aj ˥˩ . r aː k̚ ˥˩ . s aː t̚ ˨˩ . j aj ˨˩
โพรงเยื่อหุ้มปอดมีอากาศ	pʰ r oː ŋ ˧ . j ɯa̯ ˥˩ . h u m ˥˩ . p ɔː t̚ ˨˩ . m iː ˧ . ʔ aː ˧ . k aː t̚ ˨˩
ป่ะ	p aʔ ˨˩
ยาดอง	j aː ˧ . d ɔː ŋ ˧
ขื่อ	kʰ ɯː ˨˩
ปอเปี๊ยะ	p ɔː ˧ . p ia̯ʔ ˦˥
พิเทศ	pʰ i ˦˥ . tʰ eː t̚ ˥˩
การพักรบ	k aː n ˧ . pʰ a k̚ ˦˥ . r o p̚ ˦˥
การทุจริต	k aː n ˧ . tʰ u t̚ ˦˥ . t͡ɕ a ˨˩ . r i t̚ ˨˩
เห็นด้วย	h e n ˩˩˦ . d ua̯j ˥˩
ปรสิต	p ɔː ˧ . r a ˦˥ . s i t̚ ˨˩ .
ยิมนาสติก	j i m ˧ . n aː s ˦˥ . t i k̚ ˨˩
แมส	m ɛː s ˦˥
นกสองหัว	n o k̚ ˦˥ . s ɔː ŋ ˩˩˦ . h ua̯ ˩˩˦
กร่าง	k r aː ŋ ˨˩
เม้าท์มอย	m aːw ˦˥ . m ɔːj ˧
เส้นเลือดแดง	s e n ˥˩ . lɯ a̯ t̚ ˥˩ . d ɛː ŋ ˧
ขี้ขลาด	kʰ iː ˥˩ . kʰ l aː t̚ ˨˩
ความยาวเส้นรอบวง	kʰ w aː m ˧ . j aːw ˧ . s e n ˥˩ . r ɔː p̚ ˥˩ . w o ŋ ˧
ความจัญไร	kʰ w aː m ˧ . t͡ɕ a n ˧ . r aj ˧
เวชศาสตร์	w eː t̚ ˥˩ . t͡ɕʰ a ˦˥ . s aː t̚ ˨˩
ปล่องไฟ	p l ɔ ŋ ˨˩ . f aj ˧
ชิม	cʰ i m
ช่างเทคนิค	t͡ɕʰ aː ŋ ˥˩ . tʰ e k̚ ˦˥ . n i k̚ ˨˩
หม้อ	m ɔː ˥˩
การลงขัน	k aː n ˧ . l o ŋ ˧ . kʰ a n ˩˩˦
เอะใจ	ʔ eʔ ˨˩ . t͡ɕ aj ˧
เบ้าฟัน	b aw ˥˩ . f a n ˧
ตะไบ	t a ˨˩ . b aj ˧
ปลาเน่าตัวเดียวเหม็นทั้งข้อง	p l aː ˧ . n aw ˥˩ . t ua̯ ˧ . d ia̯w ˧ . m e n ˩˩˦ . tʰ a ŋ ˦˥ . kʰ ɔ ŋ ˥˩
มาตาธิปไตย	m aː ˧ . t aː ˧ . tʰ i p̚ ˦˥ . p a ˨˩ . t aj ˧
ทูน	tʰ uː n ˧
รวน	r ua̯ n ˧
อธิปไตย	ʔ a ˨˩ . tʰ i ˦˥ . p a ˨˩ . t aj ˧
ที่สาม	tʰ iː ˥˩ . s aː m ˩˩˦
วันพฤหัสฯ	w a n ˧ . pʰ rɯ ˦˥ . h a t̚ ˨˩
จัก	t͡ɕ a k̚ ˨˩
เชื้อไฟ	t͡ɕʰ ɯa̯ ˦˥ . f aj ˧
ปาทังกา	p aː ˧ . tʰ a ŋ ˧ . k aː ˧
ชี้	t͡ɕʰ iː ˦˥
ปรองดอง	p r ɔː ŋ ˧ . d ɔː ŋ ˧
เวียดนาม	w ia̯ t̚ ˥˩ . n aː m ˧
แจ๊ส	t͡ɕ ɛː t̚ ˦˥
แพทยศาสตร์	pʰ ɛː t̚ ˥˩ . s aː t̚ ˨˩
อินสตาแกรม	ʔ i n ˧ . s a ˨˩ . t aː ˧ . k r ɛ m ˧
ฝัก	f a k̚ ˨˩
ไส้ติ่ง	s aj ˥˩ . t i ŋ ˨˩
ทรงตัว	s o ŋ ˧ . t ua̯ ˧
วางวาย	w aː ŋ ˧ . w aːj ˧
มอม	m ɔ m ˧
เห่า	h aw ˨˩
ฟยอร์ด	f a ˦˥ . j ɔː t̚ ˦˥
ความเข้าใจ	kʰ w aː m ˧ . kʰ aw ˥˩ . t͡ɕ aj ˧
กวาง	k w aː ŋ ˧
เสี่ยง	s ia̯ ŋ ˨˩
แมวป่า	m ɛːw ˧ . p aː ˨˩
เต่ง	t e ŋ ˨˩
ขัดแย้ง	kʰ a t̚ ˨˩ . j ɛː ŋ ˦˥
เช่าทรัพย์สิน	t͡ɕʰ aw ˥˩ . s a p̚ ˦˥ . s i n ˩˩˦
ช่องไฟ	t͡ɕʰ ɔ ŋ ˥˩ . f aj ˧
วัฒนะ	w a t̚ ˦˥ . tʰ a ˦˥ . n aʔ ˦˥
เวทนา	w eː ˧ . tʰ a ˦˥ . n aː ˧
เสือลายเมฆ	s ɯa̯ ˩˩˦ . l aːj ˧ . m eː k̚ ˥˩
จอภาพ	t͡ɕ ɔː ˧ . pʰ aː p̚ ˥˩
สวนสาธารณะ	s ua̯ n ˩˩˦ . s aː ˩˩˦ . tʰ aː ˧ . r a ˦˥ . n aʔ ˦˥
นารายน์	n aː ˧ . r aːj ˧
เวน	w eː n ˧
ราดหน้า	r aː t̚ ˥˩ . n aː ˥˩
นบ	n o p̚ ˦˥
ติสส	t i t̚ ˨˩ . s aʔ ˨˩
กะเหรี่ยง	k a ˨˩ . r ia̯ ŋ ˨˩
ปรากฎการณ์	p r aː ˧ . k o t̚ ˨˩ . t a ˨˩ . k aː n ˧
สักขีพยาน	s a k̚ ˨˩ . kʰ iː ˩˩˦ . pʰ a ˦˥ . j aː n ˧
เครื่องชงกาแฟ	kʰ rɯ a̯ ŋ ˥˩ . t͡ɕʰ o ŋ ˧ . k aː ˧ . f ɛː ˧
ความอิจฉา	kʰ w aː m ˧ . ʔ i t̚ ˨˩ . t͡ɕʰ aː ˩˩˦
ดึกดำบรรพ์	d ɯ k̚ ˨˩ . d a m ˧ . b a n ˧
น้อยใจ	n ɔːj ˦˥ . t͡ɕ aj ˧
งอ	ŋ ɔ
ถุงนอน	tʰ u ŋ ˩˩˦ . n ɔː n ˧
เบญจเพส	b e n ˧ . t͡ɕ a ˨˩ . pʰ eː t̚ ˥˩
คณิตกรณ์	kʰ a ˦˥ . n i t̚ ˦˥ . t a ˨˩ . k ɔː n ˧
กีฏวิทยา	k iː ˧ . t a ˨˩ . w i t̚ ˦˥ . tʰ a ˦˥ . j aː ˧
เศร้าใจ	s aw ˥˩ . t͡ɕ aj ˧
นางพญา	n aː ŋ ˧ . pʰ a ˦˥ . j aː ˧
ตึง	t ɯ ŋ ˧
ลักษณะ	l a k̚ ˦˥ . s a ˨˩ . n aʔ ˨˩
จิตรจุล	t͡ɕ i t̚ ˨˩ . t r a ˨˩ . t͡ɕ u n ˧
ตกใจ	t o k̚ ˨˩ . t͡ɕ aj ˧
มังงะ	m a ŋ ˧ . ŋ aʔ ˦˥
เสาร์	s aw ˩˩˦
เที่ยงวัน	tʰ ia̯ ŋ ˥˩ . w a n ˧
เหลื่อม	lɯ a̯ m ˨˩
ปล่องควัน	p l ɔ ŋ ˨˩ . kʰ w a n ˧
เครื่องราง	kʰ rɯ a̯ ŋ ˥˩ . r aː ŋ ˧
วาต	w aː ˧ . t a ˨˩ .
ทักษิณ	tʰ a k̚ ˦˥ . s i ˨˩ . n a ˦˥ .
การรู้	k aː n ˧ . r uː ˦˥
ไม้หน้า	m aːj ˦˥ . n aː ˥˩
สอยมะม่วง	s ɔːj ˩˩˦ . m a ˦˥ . m ua̯ ŋ ˥˩
ตรุษฝรั่ง	t r u t̚ ˨˩ . f a ˦˥ . r a ŋ ˨˩
คารวะ	kʰ aː ˧ . r a ˦˥ . w aʔ ˦˥
ประชาสัมพันธ์	p r a ˨˩ . t͡ɕʰ aː ˧ . s a m ˩˩˦ . pʰ a n ˧
สัมฤทธิศก	s a m ˩˩˦ . r i t̚ ˦˥ . tʰ i ˦˥ . s o k̚ ˨˩
ทัณฑ์	tʰ a n ˧
โสม	s oː m ˩˩˦
ง่วน	ŋ ua̯ n ˥˩
ตระกร้า	t r a ˨˩ . k r aː ˥˩
รูป	r uː p̚ ˥˩
เครื่องสำอาง	kʰ rɯ a̯ ŋ ˥˩ . s a m ˩˩˦ . ʔ aː ŋ ˧
มะริด	m a ˦˥ . r i t̚ ˦˥
บรมราชาธีราช	b ɔː ˧ . r o m ˧ . m a ˦˥ . r aː ˧ . t͡ɕʰ aː ˧ . tʰ i ˦˥ . r aː t̚ ˥˩
ถามไถ่	tʰ aː m ˩˩˦ . tʰ aj ˨˩
